Cote ,Titre ,Auteur,Lieu ,Edition ,Annee ,Nb pages,Matiere,Inventaire
"""61:92_927/01 ج1و2",عيون الأنبياء في طبقات الأطباء,أبن أبي أصيبعة,بيروت,دار الثقافة,1981.0,371,طب بيوغرافيا,22489
"""61_927/09",الطب العربي,إبن البيطار,بيروت,دار العلم للجميع,,250,الطب العربي,21083
"""93_468.1/04 ج2",تاريخ العلماء والرواة للعلم بالأندلس,"أبن الفرضي, أبو الوليد عبد الله بن محمد",القاهرة,مكتبة الخانجي,1988.0,268,تاريخ الأندلس,23028
"""78_64/05",التراث العربي المغربي في الموسيقى,"إبن جلون, التومي إدريس",الدار البيضاء,مطبعة الرايس,1979.0,367,الموسيقى بالمغرب,10253
"""297.484/02 ج1",الزواجر عن اقتراف الكبائر,"أبن حجر الهيثمي, أبو العباس أحمد بن محمد",بيروت,دار الكتاب العالمي,1987.0,446,الكبائر,20185
"""930.1/23",مقدمة ابن خلدون,"أبن خلدون, عبد الرحمن بن محمد",بيروت,دار القلم,,457,علم التاريخ,594
"""930.85_927/11",وفيات الأعيان وأنباء أبناء الزمان. الجزء الثالث,"أبن خلكان, أبو العباس شمس الدين أحمد بن محمد",بيروت,دار صادر,,507,تاريخ حضارة العرب,2559
"""930.85_927/14",وفيات الاعيان وأنباء أبناء الزمان. الجزء السادس,"أبن خلكان, أبو العباس شمس الدين أحمد بن محمد",بيروت,دار صادر,,432,تاريخ حضارة العرب,2562
"""961.1/05",الدولة الصنهاجية,"أبن عامر, أحمد",تونس,الدار التونسية للنشر,1972.0,114,تاريخ تونس,5132
"""297.4/06",أعلام الموقعين عن رب العالمين. المجلد التاني,"إبن قيم الجوزية, أبو عبد الله محمد بن أبي بكر",بيروت,دار الجيل,1973.0,427,الفقه والشريعة,546
"""297.8/13",كتاب المنية والأمل في شرح الملل والنحل,"إبن منصور الحسني, أحمد بن يحيى",لبنان,دار الفكر,1979.0,231,الفرق والطوائف الإسلامية,4635
"""159.9/12",علم النفس الصناعي : بحوث عربية وعالمية,"أبو االنيل, محمود السيد",بيروت,دار النهضة العربية,1985.0,686,علم النفس الصناعي,17417
"""297.43/35",الحياة الإجتماعية من خلال بعض كتب الحسبة,"أبو الأجفان, محمد",بغداد,وزارة الأوقاف,,52,التشريع الإسلامي,17919
"""621.316.1/05",إقتصاديات نظم القدرة الكهربائية,"أبو الخير, محمد هاشم",دمشق,جامعة دمشق,1991.0,316,الشبكات الكهربائية,26327
"""331/09",الوسيط في شرح قانون العمل (المصري واللبناني): النظرية العامة لقانون العمل,"أبو السعود, رمضان",بيروت,الدار الجامعية,1983.0,523,القانون الاجتماعي,16753
"""961.1/08",عنوان الدراية فيمن عرف من العلماء في المائة السابعة ببجاية,"أبو العباس الغبريني, أحمد بن أحمد بن عبد الله",بيروت,دار الآفاق الجديدة,1979.0,460,تاريخ تونس,7025
"""51/33",علم الحساب,"أبو العباس, أحمد",بيروت,دار المعارف,1986.0,313,الرياضيات,19731
"""35/12",حركة العلاقات الانسانية في الادارة,"أبو العرف, فتوح محمود",,مطابع سجل العرب,1977.0,38,القانون الاداري,12399
"""82.091/98",الرؤية والرمانسية للمصير الإنساني لدى الشاعر العربي الحديث,"أبو العزم, طلعت عبد العزيز",الاسكندرية,الهيئة المصرية العامة للكتاب,1981.0,463,دراسات أدبية,13977
"""82.091/98 مكرر",الرؤية الرومانسية للمصير الإنساني لدى الشاعر العربي الحديث,"أبو العزم, طلعة عبد العزيز",الأسكندرية,الهيئة المصرية العامة للكتاب,1981.0,463,دراسة أدبية,23598
"""551.4/01 مكرر",أصول الجيومورفولوجيا: دراسة الاشكال التضاريسية لسطح الارض,"أبو العينين, حسن سيد أحمد",بيروت,دار النهضة العربية,1979.0,744,الجيومور فولوجيا,23482
"""91/11",كوكب الأرض ظواهره التضارسية الكبرى,"أبو العينين, سيد احمد حسن",الأسكندرية,مؤسسة التقافة الجامعية,1976.0,596,الجغرافية,17138
"""801.3/07",المعاجم اللغوية : في ضوء دراسات علم اللغة الحديث,"أبو الفرج, محمد أحمد",بيروت,دار النهضة العربية,1966.0,150,معاجم لغوية,9144
"""31/26",أساليب الإحصاء التطبيقي,"أبو القاسم, علي",قبرص,دار الشباب,1987.0,336,الإحصاء,26518
"""801.56/31",تقويم الفكر النحوي,"أبو المكارم, علي",بيروت,دار الثقافة,1975.0,291,النحو العربي,11736
"""681.3/24",التجارب العلمية في الدراسات المنطقية والحاسبات العدوية,"أبو النور, حسن",دمشق,مطبعة جامعة دمشق,1988.0,116,إعلاميات,24928
"""159.9/13",علم النفس والشائعات: دراسات عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1986.0,243,علم النفس,17419
"""159.9/16",القيم والانتاج : دراسات عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1986.0,153,علم النفس,17418
"""159.9.052/10 ج1",علم النفس الإجتماعي: دراسات عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",بيروت,دار النهضة العربية,1985.0,661,علم النفس الإجتماعي,15933
"""159.9.052/10 ج2",علم النفس الإجتماعي: دراسات عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",بيروت,دار النهضة العربية,1985.0,531,علم النفس الإجتماعي,15934
"""159.9.072/02",التحليل العاملي لذكاء وقدرات الإنسان: دراسة عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",بيروت,دار النهضة العربية,1986.0,470,علم النفس: القياس النفسي,17420
"""347.918/01",التحكيم الاختياري والاجباري,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1978.0,383,المسطرة المدنية,9656
"""347.918/01 مكرر",التحكيم الاختياري والاجباري,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1978.0,383,المسطرة المدنية,10658
"""347.918/03",عقد التحكيم واجراءاته,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1974.0,355,المسطرة المدنية,10657
"""323.27/15",الحوار الاستراتيجي الشامل: رموز الجيل الجديد في الأراضي المحتلة بتحدثون,"أبو بكر, توفيق",,مطابع القبس التجارية,1988.0,172,الثورات,23176
"""82-1/15",ديوان علي أحمد باكثير: أزهار الربى في شعر الصبا,"أبو بكر, حميد محمد",بيروت,دار المناهل,1987.0,289,ديوان شعري,18829
"""665.6/12",كيمياء وتكنولوجيا البترول,"أبو بكر, محمد",حلب,مديرية الكتب والمطبوعات الجامعية,1983.0,690,الصناعة النفطية,24820
"""665.6/13",كيمياء وتكنولوجيا البترول,"أبو بكر, محمد",حلب,مديرية المتب والمطبوعات الجامعية,1983.0,232,الصناعة النفطية,24766
"""32/57",الفكر السياسي الحديث,"أبو جابر, فايز صالح",بيروت,دار الجيل,1985.0,261,علوم سياسية,15903
"""368/04",التأمين بين الحضر والإباحة,"أبو جيب, سعدي",بيروث,دار الفكر المعاصر,1989.0,96,التأمين,23188
"""82.091/97",الإلتزام في الشعر العربي,"أبو حاقة, أحمد",بيروت,دار العلم للملايين,1979.0,756,دراسة أدبية,9450
"""612/03 ج1",الفيزيولوجيا العامة: وظائف الاتصال,"أبو حامد, حسين",دمشق,جامعة دمشق,1989.0,536,الفيزيولوجيا,26152
"""612/03 ج2",الفيزيولوجيا العامة: وظائف الإتصال,"أبو حامد, حسين",دمشق,جامعة دمشق,1989.0,1199,الفيزيولوجيا,26151
"""575/06",علم النسج والتشريح المقارن,"أبو حرب, محمد",دمشق,جامعة دمشق,1986.0,340,الوراثة,24505
"""611.9/02 ج2",علم النسج والتشريح المقارن,"أبو حرب, محمد",دمشق,جامعة دمشق,1986.0,49,التشريع,26136
"""37:297/15",أصالة التثقيف التربوي الإسلامي في الفكر الأندلسي,"أبو حويج, مروان سليم",الكويت,الدار الجامعية,1987.0,528,علوم التربية والإسلام,23399
"""297.125/104 ج1",تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي",بيروت,"دار الجنان, مؤسسة الكتب الثقافية",1987.0,1015,القرآن : تفسير,18800
"""297.125/104 ج2 ق1",تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي",بيروت,"دار الجنان, مؤسسة الكتب الثقافية",1987.0,664,القرآن : تفسير,18801
"""297.125/104 ج2 ق2",تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي",بيروت,"دار الجنان, مؤسسة الكتب الثقافية",1987.0,1320,القرآن : تفسير,18802
"""297.81/01",الإشارات الإلهية,أبو حيان التوحيدي,بيروت,دار الثقافة,1973.0,486,التصوف,4684
"""82-9/08","كتاب الأمتاع والمؤانسة. الجزء الأول, الثاني والثالث","أبو حيان التوحيدي, علي بن محمد",بيروت,دار مكتبة الحياة,,737,الأنواع الأدبية المختلفة,5312
"""82-9/11",المقابسات,"أبو حيان التوحيدي, علي بن محمد",بيروت,دار المدى للطباعة والنشر,1986.0,264,الأنواع الأدبية المختلفة,18821
"""577.15/01",علم الإنزمات,"أبو خرمة, دياب",دمشق,منشورات جامعة دمشق,1992.0,284,علم الإنزيمات,24901
"""325/03",صحافي من فلسطين.. يتذكر,"أبو خضرا, كنعان",,,1985.0,283,السياسة الإستعمارية,19746
"""297/14",الإسلام في قفص الإتهام,"أبو خليل, شوقي",دمشق,دار الفكر,1977.0,326,الإسلام,4123
"""297.214/01 مكرر",سنن أبي داود. الجزء الأول والثاني,أبو داود سليمان بن الأشعب السجستاني,,دار إحياء السنة النبوية,,656,حديث أبي داود,543
"""297.214/02 مكرر",سنن أبي داود. الجزء الثالث والرابع,أبو داود سليمان بن الأشعب السجستاني,,دار إحياء السنة النبوية,,748,حديث أبي داود,544
"""297.214/01",سنن أبي داود. الجزء الأول والثاني,أبو داود سليمان بن الأشعت السجستاني,بيروت,دار الفكر,,656,حديث أبي داود,10953
"""297.214/02",سنن أبي داود. الجزء الثالث والرابع,أبو داود سليمان بن الأشعت السجستاني,بيروت,دار الفكر,,379,حديث أبي داود,10954
"""801/30",في الشعرية,"أبو ديب, كمال",بيروت,مؤسسة الأبحاث العلمية,1987.0,160,اللسانيات,18431
"""82-4/15",جدلية الخفاء والتجلي: دراسات بنيوية في الشعر,"أبو ديب, كمال",بيروت,دار العلم للملايين,1981.0,309,دراسة وأبحاث معاصرة,15907
"""82-4/18",في البنية الإيقاعية للشعر العربي: نحو بديل جدري لعروض الخليل ومقدمة في علم الإيقاع المقارن,"أبو ديب, كمال",بيروت,دار العلم للملايين,1974.0,543,دراسة وأبحاث معاصرة,20233
"""297.7/02",عمرو بن العاص بين يدي التاريخ: مع رواية جديدة لبعض أحداث الفتح العربي لمصر,"أبو رابية, عبد الخالق سيد",القاهرة,الزهراء للإعلام العربي,1988.0,352,تراجم وأعلام,19970
"""1:297/91",أصول الفلسفة الاشراقية عند شهاب الدين السهروردي,"أبو ريان, محمد علي",بيروت,دار النهضة العربية,1978.0,409,فلسفة إسلامية: الفلسفة الاشراقية,7060
"""183_091/01",تاريخ الفكر الفلسفي : الفلسفة اليونانية. الجزء الأول: من طاليس إلى أفلاطون,"أبو ريان, محمد علي",بيروت,دار النهضة العربية,1976.0,371,تاريخ الفلسفة اليونانية,7059
"""185/01",تاريخ الفكر الفلسفي: أرسطو والمدارس المتأخرة,"أبو ريان, محمد علي",بيروت,دار النهضة العربية,1976.0,514,فلسفة أرسطو,6916
"""297.22/27 ج1",المجلس العلمي لإحياء التراث الإسلامي,أبو زرعة الرازي وجهوده في السنة النبوية : مع تحقيق كتابه الضعفاء وأجوبته على أسئلة البرذعي,العربية السعودية,,1982.0,257,الحديث,19812
"""297.22/27 ج2",المجلس العلمي لإحياء التراث الإسلامي,أبو زرعة الرازي وجهوده في السنة النبوية : مع تحقيق كتابه الضعفاء وأجوبته على أسئلة البرذعي,العربية السعودية,,1982.0,510,الحديث,19813
"""297.22/27 ج3",المجلس العلمي لإحياء التراث الإسلامي,أبو زرعة الرازي وجهوده في السنة النبوية : مع تحقيق كتابه الضعفاء وأجوبته على أسئلة البرذعي,العربية السعودية,,1982.0,291,الحديث,19814
"""297.41/02",أصول الفقه,"أبو زهرة, محمد",,دار الفكر العربي,1958.0,416,أصول الفقه,601
"""297.41/10",موسوعة الفقه الإسلامي. الجزء الأول,"أبو زهرة, محمد",القاهرة,جمعية الدراسات الإسلامية,1967.0,276,الفقه الإسلامي,4620
"""297.41/11",موسوعة الفقه الإسلامي. الجزء الثاني,"أبو زهرة, محمد",القاهرة,جمعية الدراسات الإسلامية,1967.0,439,الفقه الإسلامي,26599
"""297.432.8/04",الجريمة و العقوبة في الفقه الإسلامي : العقوبة,"أبو زهرة, محمد",بيروت,دار الفكر العربي,,607,الإسلام و القضاء,7158
"""297.728/03",مالك : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",بيروت,دار الفكر العربي,1946.0,398,سير أئمة المذاهب الإسلامية,7936
"""297.728/04",أبو حنيفة : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",بيروت,دار الفكر العربي,1947.0,436,سير أئمة المذاهب الإسلامية,7938
"""297.74/02",ابن تيمية : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",القاهرة,دار الفكر العربي,1977.0,543,سير الفقهاء,7935
"""297.74/03",ابن حزم : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",القاهرة,دار الفكر العربي,1977.0,606,سير الفقهاء,7937
"""297.15/12",المنحى الإعتزالي في البيان و إعجاز القرآن,"أبو زيد, أحمد",الرباط,مكتبة المعارف,1986.0,395,القرآن : توضيح البيان ـ المعتزلة,18806
"""297.15/12 مكرر",المنحى الإعتزالي في البيان وإعجاز القرآن,"أبو زيد, أحمد",الرباط,مكتبة المعارف,1986.0,395,القرآن : توضيح البيان ـ المعتزلة,23012
"""801.5/31",البديعيات في الأدب العربي نشأتها - تطورها - أثرها,"أبو زيد, علي",بيروت,عالم الكتب,1983.0,336,البلاغة العربية : البديع,17119
"""1:297/134",التصور الدري في الفكر الفلسفي الإسلامي,"أبو زيد, منى أحمد",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1994.0,400,فلسفة إسلامية,26974
"""82-1_إس_/06",مفهوم النص دراسة في علوم القرآن,"أبو زيد, ناصر حامد",الدار البيضاء,المركز الثقافي العربي,1990.0,319,الأدب الإسلامي,23425
"""347.51_624/01",أصول المسؤولية التقصيرية في قانون المعاملات,"أبو سعد, محمد شتا",القاهرة,مطبعة جامعة القاهرة,1984.0,134,المسؤولية بوجه عام,23444
"""330.11/27",تنمية وتعبئة مصادر المياه في الوطن العربي,"أبو سعده, سعيد محمد",الكويت,مؤسسة الكميل للتوزيع والإعلان والنشر,1987.0,153,الأهداف والظواهر الإقتصادية,26484
"""82-1_جا/23",دراسات في الشعر الجاهلي,"أبو سويلم, أنور",بيروت,دار الجيل,1987.0,136,الأدب الجاهلي,18828
"""626/04",الهيدروليك التطبيقي للمهندسين المدنيين,"أبو سيف, عطا الله",دمشق,جامعة دمشق,1985.0,236,الهندسة المائية,25778
"""621.38/06 ج2",الالكترونيات. الجزء الثاني,"أبو شاهين, الياس",دمشق,جامعة دمشق,1986.0,310,الالكترونيات,26132
"""30/40",العينات وتطبيقاتها في البحوث الاجتناعية,"أبو شعر, عبد الرزاق أمين",الرياض,معهد الإدارة العامة للبحوث,1997.0,470,علم الاجتماع: مناهج البحث,27674
"""35/41",بعض سياسات الافراد بالجهاز الحكومي في المملكة الأردنية الهاشمية,"أبو شيخة, ناذر أحمد",عمان,المنظمة العربية للعلوم الادارية,1985.0,66,القانون الاداري,17766
"""62-1/05",هندسة الانتاج: آلات التشعيل,"أبو صالح, حسن",سوريا,جامعة حلب,1982.0,399,آلات التشغيل,26254
"""62-34/04",التحكم الآلي,"أبو صالح, حسن",سوريا,جامعة حلب,1991.0,715,الهندسة الميكانيكية : التحكم الآلي,26174
"""669/05",طرق التصنيع: سباكة ولحام,"أبو صفية, عارف",بغداد,"الجامعة التكنولوجية, مركز التعريب والنشر",1982.0,488,الميتالورجيا,13072
"""669/05 مكرر",طرق التصنيع: سباكة ولحام,"أبو صفية, عارف",بغداد,الجامعة التكنولوجية مركز التعريب والنشر,1982.0,488,الميتالورجيا,12580
"""669/08",الميتالورجيا الفيزياوية الهندسية,"أبو صفية, عارف",بغداد,الجامعة التكنولوجية,1982.0,454,الميتالورجيا,13074
"""669/08 مكرر",الميتالورجيا الفيزياوية الهندسية,"أبو صفية, عارف",بغداد,الجامعة التكنولوجية,1982.0,454,الميتالورجيا,12657
"""336/03",موازنة البرامج بين النظرية والتطبيق,"أبو صقر, حبيب",عمان,المنظمة العربية,1981.0,72,المالية العامة,12388
"""946.81/16",القبائل العربية في الأندلس حتى سقوط الخلافة الأموية,"أبو ضيف أحمد, مصطفى",البيضاء,دار النشر المغربية,1983.0,507,تاريخ العرب الأندلسي,13469
"""946.81/16 مكرر",القبائل العربية في الأندلس حتى سقوط الخلافة الأموية,"أبو ضيف أحمد, مصطفى",البيضاء,دار النشر المغربية,1983.0,497,تاريخ الأندلس,23590
"""946.81/16 مكرر 2",القبائل العربية في الأندلس حتى سقوط الخلافة الأموية,"أبو ضيف, أحمد مصطفى",البيضاء,دار النشر المغربية,1983.0,504,تاريخ الأندلس,15826
"""343.2/09",قانون العقوبات: القسم الخاص,"أبو عامر, محمد زكي",بيروت,الدار الجامعية,1984.0,412,القانون الجنائي,16645
"""343/04",قانون العقوبات: القسم الخاص,"أبو عامر, محمد زكي",بيروت,الدار الجامعية,1989.0,412,القانون الجنائي,22541
"""801.551/13 ق1",المعنى والإعراب عند النحويين ونظرية العامل,"أبو عبد الله, عبد العزيز عبده",طرابلس,دار الكتاب والتوزيع والإعلان والمطابع,1982.0,515,الإعراب,12894
"""801.551/14 ق2",المعنى والإعراب عند النحويين ونظرية العامل,"أبو عبد الله, عبد العزيز عبده",طرابلس,دار الكتاب والتوزيع والإعلان والمطابع,1982.0,1035,الإعراب,12895
"""327/41 ج1",تلك الأيام مذكرات وذكرايات - الجزء الأول,"أبو عز الدين, حليم سعيد",بيروت,دار الآفاق الجديدة,1982.0,1543,العلاقات السياسية الدولية,20436
"""327/41 ج2",تلك الأيام مذكرات وذكريات. الجزء الثاني,"أبو عز الدين, حليم سعيد",بيروت,دار الآفاق الجديدة,1982.0,3302,العلاقات السياسية,20437
"""935/01",معركة استقلال المغرب,"أبو عزام, محمد التهامي السلوي",,,,221,التاريخ المغربي,5210
"""92/04",المقاومة والوجدان عب الشعب والذات,"أبو عزام, محمد السلوى",البيضاء,مطبعة النجاح الجديدة,1990.0,682,بيوغرافيا,20938
"""82-84/05",كتاب الأمثال,"أبو عكرمة الضبي, عامر بن عمران",دمشق,مجمع اللغة العربية,1974.0,188,الأمثال والحكم,7832
"""378/44",التعليم العالي في بريطانيا,"أبو عمه, محمود بن عبد الرحمان",الرياض,مكتب التربية العربي لدول الخليج,2000.0,352,التعليم العالي,28558
"""911.3:312/03",جغرافية السكان وأسسها الديمغرافية العامة,"أبو عيانة, فتحي محمد",الإسكندرية,دار الجامعة المصرية,1977.0,518,الجغرافية البشرية,5290
"""911.3:312/07",دراسات في جغرافية السكان,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1978.0,526,الجغرافية البشرية,7838
"""911.3:312/08",السكان والعمران الحضري: بحوث تطبيقية في بعض الأقطار العربية,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1984.0,604,جغرافية السكان,15726
"""911.3:33/06",الجغرافية الإقتصادية,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1984.0,668,الجغرافية الإقتصادية,14468
"""916/09",جغرافية إفريقية,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1983.0,540,جغرافية إفريقيا,13470
"""911/08",دراسات في الجغرافيا السياسية,"أبو عيانه, فتحي محمد",بيروت,دارالنهضة العربية,1971.0,543,الجغرافية العامة,14467
"""091:51/02",كتاب الجبر والمقابلة,"أبو كامل, شجاع بن أسلم",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986.0,221,مخطوطات: الرياضيات,17963
"""323/14",سقوط حكومة نشنياهو,"أبو مازن, محمود عباس",رام الله,المركز الفلسطيني للدراسات الإقليمية,,102,السياسة الداخلية,28603
"""091:52/04",المدخل الكبير الى علم أحكام النجوم,"أبو معشر, جعفر بن محمد",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1985.0,477,مخطوطات: علم الفلك,17943
"""82.09/12",النقد البنيوي الحديث بين لبنان وأوروبا: صوص - حجاليات - تطلعات,"أبو منصور, فؤاد",بيروت,دار الجيل,1985.0,511,النقد الأدبي,16643
"""82-9/09",أراغون في مواجهة العصر,"أبو منصور, فؤاد",بيروت,المؤسسة العربية للدراسات والنشر,1982.0,292,الأنواع الأدبية المختلفة,19710
"""801/12",الألسنية والنقد الأدبي في النظرية والممارسة,"أبو ناضر, موريس",بيروت,دار النهار,1979.0,166,اللسانيات,15708
"""82-1/13",ديوان أبي نواس,أبو نواس,بيروت,دار صادر,,717,ديوان شعري,5442
"""1:297/95",كتاب المعتمد في أصول الدين,"أبو يعلى الحنبلي, محمد ابن الحسين",بيروت,دار المشرق,1974.0,333,فلسفة إسلامية,25441
"""956.95/03",متحف التاريخ الطبيعي الأردني,"أبو يمن, إبراهيم خليل",جامعة اليرموك,مطبعة جامعة اليرموك,1985.0,98,تاريخ الأردن,17449
"""323.1_569.6/01",قادة فلسطينيون في حوار استراتيجي,"أبوبكر, توفيق",,مطابع القبس التجارية,1987.0,203,الحركات الوطنية,23175
"""665.6/16",المدخل إلى كمياء البترول,"أبوبكر, محمد",حلب,جامعة حلب,1980.0,424,التكنولوجيا النفطية,26436
"""297.74/08",منشورات كلية الآداب والعلوم الانسانية,أبوحامد الغزالي : دراسات في فكره وعصره وتأثيره,الرباط,,1988.0,318,سير الفقهاء,29107
"""72_091/05 ج1",تاريخ العمارة: تاريخ العمارة الحديثة : الجزء الأول,"أبوحديد, يوسف",دمشق,جامعة دمشق,1988.0,127,تاريخ الهندسة المعمارية,25781
"""297.81/01 مكرر",الإشارات الإلهية,أبوحيان التوحيدي,بيروت,دار الثقافة,1973.0,486,التصوف,10146
"""54/01",الكيمياء التحليلية (2): مبادئ التحليل الكمي ةالآلي,"أبودان, محمود",دمشق,جامعة حلب,1988.0,373,الكيمياء,24334
"""546/02",الكيمياء العامة واللاعضوية,"أبودان, محمود",,مديرية الكتب والمطبوعات الجامعية,1990.0,457,الكيمياء اللاعضوية,24734
"""297.26/20",أضواء على السنة المحمدية أو دفاع عن الحديث,"أبورية, محمود",مصر,دار المعارف,1976.0,422,الحديث : الرواة والرواية,4611
